,size,avg,pr,slope,interaction
40,500,6.0,0.4,0.17667645609337343,random
41,500,6.0,0.4,0.212039432328122,ordered
42,500,6.0,0.4,0.17968850464209712,degree
43,500,6.0,0.4,0.1960827411858406,distance
44,500,6.0,0.5,0.21041318846975723,random
45,500,6.0,0.5,0.24278566292542997,ordered
46,500,6.0,0.5,0.20162686801856475,degree
47,500,6.0,0.5,0.21367157927082228,distance
48,500,8.0,0.0,0.008310303004206866,random
49,500,8.0,0.0,0.008173310257193755,ordered
50,500,8.0,0.0,0.00861257753978019,degree
51,500,8.0,0.0,0.0085104402177411,distance
52,500,8.0,0.1,0.052868745041057354,random
53,500,8.0,0.1,0.06233580501525934,ordered
54,500,8.0,0.1,0.05456756508120364,degree
55,500,8.0,0.1,0.08371427885134886,distance
56,500,8.0,0.2,0.11720315844405427,random
57,500,8.0,0.2,0.13369361846025987,ordered
58,500,8.0,0.2,0.11938599364184435,degree
59,500,8.0,0.2,0.1602128937064574,distance
60,500,8.0,0.30000000000000004,0.17180786829928238,random
61,500,8.0,0.30000000000000004,0.18773551377222478,ordered
62,500,8.0,0.30000000000000004,0.16425852304610689,degree
63,500,8.0,0.30000000000000004,0.20533196474546891,distance
64,500,8.0,0.4,0.22715883462144865,random
65,500,8.0,0.4,0.26757169615445775,ordered
66,500,8.0,0.4,0.2297245663827932,degree
67,500,8.0,0.4,0.2655554416280362,distance
68,500,8.0,0.5,0.2669826412597801,random
69,500,8.0,0.5,0.3037927013557774,ordered
70,500,8.0,0.5,0.26525992112705765,degree
71,500,8.0,0.5,0.2790943937668026,distance
72,500,8.0,0.0,0.0069288090374850925,random
73,500,8.0,0.0,0.00930832239619878,ordered
74,500,8.0,0.0,0.00830709084223209,degree
75,500,8.0,0.0,0.009006108968363236,distance
76,500,8.0,0.1,0.061098817498597524,random
77,500,8.0,0.1,0.0647734664986175,ordered
78,500,8.0,0.1,0.062105143070877944,degree
79,500,8.0,0.1,0.08529771710013553,distance
80,500,8.0,0.2,0.11916226394753296,random
81,500,8.0,0.2,0.1321419001763958,ordered
82,500,8.0,0.2,0.11728971439405464,degree
83,500,8.0,0.2,0.16235297254879355,distance
84,500,8.0,0.30000000000000004,0.1855807874686307,random
85,500,8.0,0.30000000000000004,0.20747649426927645,ordered
86,500,8.0,0.30000000000000004,0.1874304400572463,degree
87,500,8.0,0.30000000000000004,0.2300895288425396,distance
88,500,8.0,0.4,0.22539696584312469,random
89,500,8.0,0.4,0.26146123794902104,ordered
90,500,8.0,0.4,0.22885220682337884,degree
91,500,8.0,0.4,0.25721132335893854,distance
92,500,8.0,0.5,0.26866720454113324,random
93,500,8.0,0.5,0.30508354192801673,ordered
94,500,8.0,0.5,0.25694583189186065,degree
95,500,8.0,0.5,0.28391646016624317,distance
96,500,10.0,0.0,0.009061261409550391,random
97,500,10.0,0.0,0.00870115113490081,ordered
98,500,10.0,0.0,0.00916270792927323,degree
99,500,10.0,0.0,0.009050680835450178,distance
100,500,10.0,0.1,0.06505365113446747,random
101,500,10.0,0.1,0.06957107338265422,ordered
102,500,10.0,0.1,0.0691988717797412,degree
103,500,10.0,0.1,0.11191121010246308,distance
104,500,10.0,0.2,0.1290622620387278,random
105,500,10.0,0.2,0.14897603433554707,ordered
