,size,r,avg,slope,interaction
48,500,0.10998079684646792,19,0.012533455754880452,random
49,500,0.10998079684646792,19,0.013415800397240737,ordered
50,500,0.10998079684646792,19,0.012517372641660524,degree
51,500,0.10998079684646792,19,0.014846767700649285,distance
52,500,0.11283791670955126,20,0.01276953479525468,random
53,500,0.11283791670955126,20,0.01359358141047857,ordered
54,500,0.11283791670955126,20,0.01290474079292651,degree
55,500,0.11283791670955126,20,0.015234421450998353,distance
56,500,0.11562445770562217,21,0.013913562418670094,random
57,500,0.11562445770562217,21,0.015211499801213122,ordered
58,500,0.11562445770562217,21,0.014068858206733151,degree
59,500,0.11562445770562217,21,0.01663131869096993,distance
60,500,0.11834540545406395,22,0.014180105205149857,random
61,500,0.11834540545406395,22,0.01517068880347781,ordered
62,500,0.11834540545406395,22,0.01381086992844765,degree
63,500,0.11834540545406395,22,0.01683336643876502,distance
64,500,0.12100518486599808,23,0.014396631826172294,random
65,500,0.12100518486599808,23,0.015957874998311784,ordered
66,500,0.12100518486599808,23,0.01397841472318454,degree
67,500,0.12100518486599808,23,0.017363433654750432,distance
68,500,0.12360774464742068,24,0.015875641638805404,random
69,500,0.12360774464742068,24,0.01624257653761125,ordered
70,500,0.12360774464742068,24,0.015351849173882742,degree
71,500,0.12360774464742068,24,0.018733168970017543,distance
72,500,0.126156626101008,25,0.015646475980063246,random
73,500,0.126156626101008,25,0.016387205999444633,ordered
74,500,0.126156626101008,25,0.015715560989778946,degree
75,500,0.126156626101008,25,0.018842330029317886,distance
76,500,0.12865501965161372,26,0.018404185292780893,random
77,500,0.12865501965161372,26,0.01928320860636246,ordered
78,500,0.12865501965161372,26,0.017378501659378986,degree
79,500,0.12865501965161372,26,0.0207671968051029,distance
80,500,0.1311058116710495,27,0.018999424729893813,random
81,500,0.1311058116710495,27,0.01930343786509617,ordered
82,500,0.1311058116710495,27,0.018724840134989144,degree
83,500,0.1311058116710495,27,0.022288159121681157,distance
84,500,0.1335116235624909,28,0.020019725636741557,random
85,500,0.1335116235624909,28,0.021146363494277537,ordered
86,500,0.1335116235624909,28,0.020066920353930158,degree
87,500,0.1335116235624909,28,0.023299297576060293,distance
88,500,0.1358748446131949,29,0.019058879243176983,random
89,500,0.1358748446131949,29,0.019245314941147763,ordered
90,500,0.1358748446131949,29,0.01855023455443466,degree
91,500,0.1358748446131949,29,0.02206597623801724,distance
92,500,0.1381976597885342,30,0.01876649583275607,random
93,500,0.1381976597885342,30,0.02009690176087187,ordered
94,500,0.1381976597885342,30,0.01927927190030981,degree
95,500,0.1381976597885342,30,0.023179575679643138,distance
96,500,0.14048207338801283,31,0.02101944275544188,random
97,500,0.14048207338801283,31,0.02169762860616159,ordered
98,500,0.14048207338801283,31,0.020916656713809278,degree
99,500,0.14048207338801283,31,0.024732318352378543,distance
100,500,0.1427299292922217,32,0.024797742891496968,random
101,500,0.1427299292922217,32,0.02560791087016493,ordered
102,500,0.1427299292922217,32,0.024918383922691904,degree
103,500,0.1427299292922217,32,0.028755612735013508,distance
104,500,0.14494292838262302,33,0.022803616036046213,random
105,500,0.14494292838262302,33,0.023889175144077988,ordered
106,500,0.14494292838262302,33,0.02279665832358655,degree
107,500,0.14494292838262302,33,0.027143847593386682,distance
108,500,0.14712264360219254,34,0.02345617787415382,random
109,500,0.14712264360219254,34,0.0239351409457974,ordered
110,500,0.14712264360219254,34,0.02261148077627276,degree
111,500,0.14712264360219254,34,0.02765642214060892,distance
112,500,0.14927053303604615,35,0.022912174013046297,random
113,500,0.14927053303604615,35,0.024291707907236566,ordered
114,500,0.14927053303604615,35,0.02264351852113374,degree
115,500,0.14927053303604615,35,0.027579097687353477,distance
116,500,0.1513879513212096,36,0.02493853633173392,random
117,500,0.1513879513212096,36,0.025596108257284728,ordered
118,500,0.1513879513212096,36,0.024149266526786083,degree
119,500,0.1513879513212096,36,0.02901763405272052,distance
120,500,0.1534761596392108,37,0.02344691601425968,random
121,500,0.1534761596392108,37,0.024025084489930383,ordered
122,500,0.1534761596392108,37,0.023023350947661916,degree
123,500,0.1534761596392108,37,0.02758723652552401,distance
124,500,0.15553633450087506,38,0.023462228392185945,random
125,500,0.15553633450087506,38,0.024213698838689138,ordered
126,500,0.15553633450087506,38,0.022897119560801343,degree
127,500,0.15553633450087506,38,0.027439718747369824,distance
128,500,0.15756957549709802,39,0.03054341050597805,random
129,500,0.15756957549709802,39,0.03168379082722998,ordered
130,500,0.15756957549709802,39,0.030789930556889854,degree
131,500,0.15756957549709802,39,0.03529484770205818,distance
132,500,0.15957691216057307,40,0.0289108690025879,random
133,500,0.15957691216057307,40,0.0289386638464093,ordered
134,500,0.15957691216057307,40,0.02872545591318811,degree
135,500,0.15957691216057307,40,0.03322902725374526,distance
136,500,0.16155931006002358,41,0.03250913877097565,random
137,500,0.16155931006002358,41,0.03333852900318162,ordered
138,500,0.16155931006002358,41,0.032863440228253264,degree
139,500,0.16155931006002358,41,0.03794762582442992,distance
140,500,0.1635176762293252,42,0.031085927584915296,random
141,500,0.1635176762293252,42,0.03194004291220902,ordered
142,500,0.1635176762293252,42,0.03156802066988389,degree
143,500,0.1635176762293252,42,0.035763997235113,distance
144,500,0.16545286401814263,43,0.03141544997145819,random
145,500,0.16545286401814263,43,0.03136685166000849,ordered
146,500,0.16545286401814263,43,0.031544025671651175,degree
147,500,0.16545286401814263,43,0.036157980561806705,distance
148,500,0.1673656774376801,44,0.03100527808004484,random
149,500,0.1673656774376801,44,0.03252636610425499,ordered
150,500,0.1673656774376801,44,0.03167486284247398,degree
151,500,0.1673656774376801,44,0.0358650850554659,distance
152,500,0.16925687506432688,45,0.02958778319774346,random
153,500,0.16925687506432688,45,0.030676259196358736,ordered
154,500,0.16925687506432688,45,0.029566595230447978,degree
155,500,0.16925687506432688,45,0.03485762790826707,distance
156,500,0.17112717355495807,46,0.033877296806885046,random
157,500,0.17112717355495807,46,0.034476154723684274,ordered
158,500,0.17112717355495807,46,0.032814049587730126,degree
159,500,0.17112717355495807,46,0.039073435257409576,distance
160,500,0.17297725082009,47,0.033533820201453554,random
161,500,0.17297725082009,47,0.035658678281729604,ordered
162,500,0.17297725082009,47,0.0334178701119051,degree
163,500,0.17297725082009,47,0.040460921971607625,distance
164,500,0.17480774889473266,48,0.03848286347684964,random
165,500,0.17480774889473266,48,0.03965556496303134,ordered
166,500,0.17480774889473266,48,0.038933266633019145,degree
167,500,0.17480774889473266,48,0.04428336796004097,distance
168,500,0.1766192765414112,49,0.0355871976214945,random
169,500,0.1766192765414112,49,0.03617315943808663,ordered
170,500,0.1766192765414112,49,0.035600487399665634,degree
171,500,0.1766192765414112,49,0.0411155805318726,distance
172,500,0.1784124116152771,50,0.03312741896659908,random
173,500,0.1784124116152771,50,0.034174990288950755,ordered
174,500,0.1784124116152771,50,0.032747965827938916,degree
175,500,0.1784124116152771,50,0.03843718261443041,distance
176,500,0.18018770321735791,51,0.036624840553978646,random
177,500,0.18018770321735791,51,0.037650621633562795,ordered
178,500,0.18018770321735791,51,0.0372448469687152,degree
179,500,0.18018770321735791,51,0.042716561490923656,distance
180,500,0.1819456736586892,52,0.0337529763784088,random
181,500,0.1819456736586892,52,0.03545593702839921,ordered
