,size,p,avg,slope,interaction
100,500,0.06212424849699399,31,0.48578675475209643,random
101,500,0.06212424849699399,31,0.4988175432243721,ordered
102,500,0.06212424849699399,31,0.4761510211576967,degree
103,500,0.06212424849699399,31,0.4856839080529025,distance
104,500,0.06412825651302605,32,0.4773719533603387,random
105,500,0.06412825651302605,32,0.48945657510099927,ordered
106,500,0.06412825651302605,32,0.45509417854023554,degree
107,500,0.06412825651302605,32,0.46909746752789516,distance
108,500,0.06613226452905811,33,0.4819021131128161,random
109,500,0.06613226452905811,33,0.5060717197535756,ordered
110,500,0.06613226452905811,33,0.46691841015852253,degree
111,500,0.06613226452905811,33,0.4805760119112823,distance
112,500,0.06813627254509018,34,0.4763914753755046,random
113,500,0.06813627254509018,34,0.4985184508979989,ordered
114,500,0.06813627254509018,34,0.465669086389625,degree
115,500,0.06813627254509018,34,0.484740673489296,distance
116,500,0.07014028056112225,35,0.4818115151010834,random
117,500,0.07014028056112225,35,0.4970536055052862,ordered
118,500,0.07014028056112225,35,0.479695890569797,degree
119,500,0.07014028056112225,35,0.478071813375127,distance
120,500,0.07214428857715431,36,0.4809842488805948,random
121,500,0.07214428857715431,36,0.5017192146661864,ordered
122,500,0.07214428857715431,36,0.4700774443641387,degree
123,500,0.07214428857715431,36,0.4845277067221385,distance
124,500,0.07414829659318638,37,0.48807723025255206,random
125,500,0.07414829659318638,37,0.5052363675624669,ordered
126,500,0.07414829659318638,37,0.4659232368834063,degree
127,500,0.07414829659318638,37,0.48971473310798136,distance
128,500,0.07615230460921844,38,0.49182999079735196,random
129,500,0.07615230460921844,38,0.5067251995358212,ordered
130,500,0.07615230460921844,38,0.47194255237848337,degree
131,500,0.07615230460921844,38,0.479888465648894,distance
132,500,0.0781563126252505,39,0.48465251844525775,random
133,500,0.0781563126252505,39,0.501729634621736,ordered
134,500,0.0781563126252505,39,0.4738701878039012,degree
135,500,0.0781563126252505,39,0.4867566063968202,distance
136,500,0.08016032064128256,40,0.48949505350509626,random
137,500,0.08016032064128256,40,0.4989763317989194,ordered
138,500,0.08016032064128256,40,0.48279321196520375,degree
139,500,0.08016032064128256,40,0.4887822180599911,distance
140,500,0.08216432865731463,41,0.4855382553460945,random
141,500,0.08216432865731463,41,0.501136338238877,ordered
142,500,0.08216432865731463,41,0.48206913851208555,degree
143,500,0.08216432865731463,41,0.48080827770445456,distance
144,500,0.0841683366733467,42,0.48477627923525474,random
145,500,0.0841683366733467,42,0.5005894617489373,ordered
146,500,0.0841683366733467,42,0.47965133666549936,degree
147,500,0.0841683366733467,42,0.48649008825561957,distance
148,500,0.08617234468937876,43,0.49099335120711174,random
149,500,0.08617234468937876,43,0.5010706226869539,ordered
150,500,0.08617234468937876,43,0.4745770428029174,degree
151,500,0.08617234468937876,43,0.4951255399288349,distance
152,500,0.08817635270541083,44,0.488943540174631,random
153,500,0.08817635270541083,44,0.5050838819215967,ordered
154,500,0.08817635270541083,44,0.474287308454573,degree
155,500,0.08817635270541083,44,0.4909981288670403,distance
156,500,0.09018036072144289,45,0.4933745132927837,random
157,500,0.09018036072144289,45,0.4905701525503495,ordered
158,500,0.09018036072144289,45,0.4869347712399466,degree
159,500,0.09018036072144289,45,0.48536704476464243,distance
160,500,0.09218436873747494,46,0.49142970554297305,random
161,500,0.09218436873747494,46,0.5117129204884877,ordered
162,500,0.09218436873747494,46,0.4868650221618929,degree
163,500,0.09218436873747494,46,0.48501053030358887,distance
164,500,0.09418837675350701,47,0.48862085239595354,random
165,500,0.09418837675350701,47,0.5049813604500852,ordered
166,500,0.09418837675350701,47,0.4831870807143007,degree
167,500,0.09418837675350701,47,0.493139406329139,distance
168,500,0.09619238476953908,48,0.48273119211911464,random
169,500,0.09619238476953908,48,0.4970630273443389,ordered
170,500,0.09619238476953908,48,0.4805658761262805,degree
171,500,0.09619238476953908,48,0.49149395750670904,distance
172,500,0.09819639278557114,49,0.48344635068763553,random
173,500,0.09819639278557114,49,0.507875917614407,ordered
174,500,0.09819639278557114,49,0.48371755292220187,degree
175,500,0.09819639278557114,49,0.48239135037341113,distance
176,500,0.10020040080160321,50,0.4846033404682239,random
177,500,0.10020040080160321,50,0.5112625534407901,ordered
178,500,0.10020040080160321,50,0.4851070136880833,degree
179,500,0.10020040080160321,50,0.4904356721362981,distance
180,500,0.10220440881763528,51,0.49135842244829353,random
181,500,0.10220440881763528,51,0.5055450925212615,ordered
182,500,0.10220440881763528,51,0.47643221967942173,degree
183,500,0.10220440881763528,51,0.48819136149113074,distance
184,500,0.10420841683366733,52,0.4912907091350472,random
185,500,0.10420841683366733,52,0.5014035935295713,ordered
186,500,0.10420841683366733,52,0.48195333708796967,degree
187,500,0.10420841683366733,52,0.4920220642304941,distance
188,500,0.1062124248496994,53,0.4909884604040074,random
189,500,0.1062124248496994,53,0.496995803427021,ordered
190,500,0.1062124248496994,53,0.4899570423291883,degree
191,500,0.1062124248496994,53,0.48712502812309755,distance
192,500,0.10821643286573146,54,0.49269997671539983,random
193,500,0.10821643286573146,54,0.5025304388826466,ordered
194,500,0.10821643286573146,54,0.4868074854926072,degree
195,500,0.10821643286573146,54,0.500220246215176,distance
196,500,0.11022044088176353,55,0.49746832573050986,random
197,500,0.11022044088176353,55,0.5006001355487377,ordered
198,500,0.11022044088176353,55,0.48561373553285697,degree
199,500,0.11022044088176353,55,0.5010404174166228,distance
200,500,0.11222444889779559,56,0.49911391985751863,random
201,500,0.11222444889779559,56,0.5042457303435259,ordered
202,500,0.11222444889779559,56,0.49142265318233236,degree
203,500,0.11222444889779559,56,0.4960115895339465,distance
204,500,0.11422845691382766,57,0.49653549518808904,random
205,500,0.11422845691382766,57,0.5117228658587759,ordered
206,500,0.11422845691382766,57,0.4857390851414163,degree
207,500,0.11422845691382766,57,0.5010404288510013,distance
208,500,0.11623246492985972,58,0.49259316828271976,random
209,500,0.11623246492985972,58,0.5041182495280608,ordered
210,500,0.11623246492985972,58,0.4880718552112128,degree
211,500,0.11623246492985972,58,0.48739561977918544,distance
212,500,0.11823647294589178,59,0.4936443931824564,random
213,500,0.11823647294589178,59,0.503372654116083,ordered
214,500,0.11823647294589178,59,0.4907937986296302,degree
215,500,0.11823647294589178,59,0.49401760693072017,distance
