,size,avg,pc,cl,count_p,count_c,slope,interaction
34,500,5.964,1,0.5764454893374461,500,991,0.027248518942795674,degree
35,500,5.964,1,0.5764454893374461,500,991,0.02652014109029514,distance
36,500,5.964,0.0,0.04872330490804792,1491,0,0.2229727848006328,random
37,500,5.964,0.0,0.04872330490804792,1491,0,0.26812761891952247,ordered
38,500,5.964,0.0,0.04872330490804792,1491,0,0.23262338867295318,degree
39,500,5.964,0.0,0.04872330490804792,1491,0,0.21446625615406817,distance
40,500,5.952,0.2,0.15021474737695936,1276,215,0.19167798244894088,random
41,500,5.952,0.2,0.15021474737695936,1276,215,0.22863857456766273,ordered
42,500,5.952,0.2,0.15021474737695936,1276,215,0.210074316695271,degree
43,500,5.952,0.2,0.15021474737695936,1276,215,0.18779673691096452,distance
44,500,5.952,0.4,0.254409492492772,1087,404,0.17180636647777375,random
45,500,5.952,0.4,0.254409492492772,1087,404,0.1971833691806911,ordered
46,500,5.952,0.4,0.254409492492772,1087,404,0.1868892663791014,degree
47,500,5.952,0.4,0.254409492492772,1087,404,0.17414669062366175,distance
48,500,5.96,0.6,0.3407096821462682,915,576,0.15296740011420087,random
49,500,5.96,0.6,0.3407096821462682,915,576,0.18101851085075485,ordered
50,500,5.96,0.6,0.3407096821462682,915,576,0.18173379982049326,degree
51,500,5.96,0.6,0.3407096821462682,915,576,0.14990071936042548,distance
52,500,5.948,0.8,0.47776166620420496,688,803,0.06728123262548145,random
53,500,5.948,0.8,0.47776166620420496,688,803,0.08487454205354102,ordered
54,500,5.948,0.8,0.47776166620420496,688,803,0.07352254173850775,degree
55,500,5.948,0.8,0.47776166620420496,688,803,0.08225978398252616,distance
56,500,5.956,0.85,0.5144395845807213,655,836,0.08270038812271457,random
57,500,5.956,0.85,0.5144395845807213,655,836,0.09524349635326634,ordered
58,500,5.956,0.85,0.5144395845807213,655,836,0.0953482152604844,degree
59,500,5.956,0.85,0.5144395845807213,655,836,0.09388837716323636,distance
60,500,5.96,0.9,0.5471307490441865,571,920,0.048838562144257046,random
61,500,5.96,0.9,0.5471307490441865,571,920,0.05223739241832568,ordered
62,500,5.96,0.9,0.5471307490441865,571,920,0.053569764668912,degree
63,500,5.96,0.9,0.5471307490441865,571,920,0.0487093633373421,distance
64,500,5.96,0.95,0.5757299509647594,543,948,0.040176065750916194,random
65,500,5.96,0.95,0.5757299509647594,543,948,0.0539966212382027,ordered
66,500,5.96,0.95,0.5757299509647594,543,948,0.04881052992113813,degree
67,500,5.96,0.95,0.5757299509647594,543,948,0.045814725807449504,distance
68,500,5.96,1,0.6115658351921951,501,990,0.019747518678318275,random
69,500,5.96,1,0.6115658351921951,501,990,0.019861352513046278,ordered
70,500,5.96,1,0.6115658351921951,501,990,0.02223203111358118,degree
71,500,5.96,1,0.6115658351921951,501,990,0.02223760273838619,distance
72,500,7.936,0.0,0.064984436557284,1984,0,0.27936965629964294,random
73,500,7.936,0.0,0.064984436557284,1984,0,0.33026936421477654,ordered
74,500,7.936,0.0,0.064984436557284,1984,0,0.2919191257857213,degree
75,500,7.936,0.0,0.064984436557284,1984,0,0.26814621699579405,distance
76,500,7.924,0.2,0.13933542710337352,1690,294,0.2585969482958107,random
77,500,7.924,0.2,0.13933542710337352,1690,294,0.30900706357381524,ordered
78,500,7.924,0.2,0.13933542710337352,1690,294,0.2856575189919789,degree
79,500,7.924,0.2,0.13933542710337352,1690,294,0.2557792176834456,distance
80,500,7.916,0.4,0.21669859327759675,1411,573,0.23904637920330601,random
81,500,7.916,0.4,0.21669859327759675,1411,573,0.28360261491262106,ordered
82,500,7.916,0.4,0.21669859327759675,1411,573,0.2675180836911947,degree
83,500,7.916,0.4,0.21669859327759675,1411,573,0.23877352593018336,distance
84,500,7.916,0.6,0.28606388595211707,1104,880,0.2176447035046845,random
85,500,7.916,0.6,0.28606388595211707,1104,880,0.25339912584508956,ordered
86,500,7.916,0.6,0.28606388595211707,1104,880,0.22403553017263902,degree
87,500,7.916,0.6,0.28606388595211707,1104,880,0.21780876793297957,distance
88,500,7.928,0.8,0.3940763156349786,785,1199,0.14426434399999058,random
89,500,7.928,0.8,0.3940763156349786,785,1199,0.16508365593043844,ordered
90,500,7.928,0.8,0.3940763156349786,785,1199,0.14479814584935002,degree
91,500,7.928,0.8,0.3940763156349786,785,1199,0.15252603445063675,distance
92,500,7.928,0.85,0.4028185020750146,737,1247,0.11328828747670276,random
93,500,7.928,0.85,0.4028185020750146,737,1247,0.13752962193020535,ordered
94,500,7.928,0.85,0.4028185020750146,737,1247,0.11870284850908093,degree
95,500,7.928,0.85,0.4028185020750146,737,1247,0.13044732472079545,distance
96,500,7.932,0.9,0.44201229134396863,665,1319,0.09366597872621606,random
97,500,7.932,0.9,0.44201229134396863,665,1319,0.11620322499767241,ordered
98,500,7.932,0.9,0.44201229134396863,665,1319,0.09745427269533188,degree
99,500,7.932,0.9,0.44201229134396863,665,1319,0.1062781037727641,distance
100,500,7.936,0.95,0.46024407338453416,582,1402,0.09178896888228669,random
101,500,7.936,0.95,0.46024407338453416,582,1402,0.10148690019918856,ordered
102,500,7.936,0.95,0.46024407338453416,582,1402,0.10070046475081731,degree
103,500,7.936,0.95,0.46024407338453416,582,1402,0.09839101083854859,distance
104,500,7.936,1,0.5044275528137953,504,1480,0.030997059670677018,random
105,500,7.936,1,0.5044275528137953,504,1480,0.03928776447472103,ordered
106,500,7.936,1,0.5044275528137953,504,1480,0.04460827304532643,degree
107,500,7.936,1,0.5044275528137953,504,1480,0.03421592716345548,distance
108,500,7.936,0.0,0.05699836618833416,1984,0,0.28465928105403154,random
109,500,7.936,0.0,0.05699836618833416,1984,0,0.33950209189558794,ordered
110,500,7.936,0.0,0.05699836618833416,1984,0,0.29206614948755877,degree
111,500,7.936,0.0,0.05699836618833416,1984,0,0.28442205229639866,distance
112,500,7.932,0.2,0.12989483551887038,1709,275,0.2611334651897003,random
