,size,r,avg,slope,shuffled
0,500,0.06675581178124546,7,0.001153263774716159,False
1,500,0.06675581178124546,7,0.0011841515735731066,False
2,500,0.06675581178124546,7,0.0011914632955337657,False
3,500,0.06675581178124546,7,0.0012232547599077398,False
4,500,0.06675581178124546,7,0.001141616415988142,False
5,500,0.06675581178124546,7,0.0011923642298280826,False
6,500,0.06675581178124546,7,0.0011539975073535263,False
7,500,0.06675581178124546,7,0.0011925602353575373,False
8,500,0.06675581178124546,7,0.0011348942905766602,False
9,500,0.06675581178124546,7,0.0011881751755739435,False
10,500,0.06675581178124546,7,0.001142564001048719,False
11,500,0.06675581178124546,7,0.0012023435123590756,False
12,500,0.06675581178124546,7,0.0011229302020690111,False
13,500,0.06675581178124546,7,0.0012389762078577242,False
14,500,0.06675581178124546,7,0.0012498549557083585,False
15,500,0.06675581178124546,7,0.0011999724996277347,False
16,500,0.06675581178124546,7,0.0011772877933258867,False
17,500,0.06675581178124546,7,0.0012261532639550494,False
18,500,0.06675581178124546,7,0.0011819955746312717,False
19,500,0.06675581178124546,7,0.001208914390842011,False
20,500,0.06675581178124546,7,0.00122187474595241,False
21,500,0.06675581178124546,7,0.001203817993608587,False
22,500,0.06675581178124546,7,0.0012642615267314335,False
23,500,0.06675581178124546,7,0.0011162039557048623,False
24,500,0.06675581178124546,7,0.0012238299537116603,False
25,500,0.06675581178124546,7,0.0011497159319071068,False
26,500,0.06675581178124546,7,0.0011545742921185384,False
27,500,0.06675581178124546,7,0.0012121195178275191,False
28,500,0.06675581178124546,7,0.0011979097868615907,False
29,500,0.06675581178124546,7,0.001264565977614344,False
30,500,0.06675581178124546,7,0.0011656657636574489,False
31,500,0.06675581178124546,7,0.001205335897895314,False
32,500,0.06675581178124546,7,0.0011765958911858958,False
33,500,0.06675581178124546,7,0.0012169972864721026,False
34,500,0.06675581178124546,7,0.0012291475292614572,False
35,500,0.06675581178124546,7,0.0012647607793731894,False
36,500,0.06675581178124546,7,0.0011366705373627535,False
37,500,0.06675581178124546,7,0.0011968185325167253,False
38,500,0.06675581178124546,7,0.0012315329540326673,False
39,500,0.06675581178124546,7,0.0012070644020119423,False
40,500,0.06675581178124546,7,0.001170210748985329,False
41,500,0.06675581178124546,7,0.001133628075439869,False
42,500,0.06675581178124546,7,0.0011768206287434615,False
