,size,avg,pr,slope,shuffled
0,500,6.0,0.0,0.005774747088166452,False
1,500,6.0,0.0,0.00507344097828673,False
2,500,6.0,0.0,0.005207293360130514,False
3,500,6.0,0.0,0.005459810042063275,False
4,500,6.0,0.0,0.005052343317132701,False
5,500,6.0,0.0,0.005514396792954643,False
6,500,6.0,0.0,0.0055069495465749395,False
7,500,6.0,0.0,0.005215191618288064,False
8,500,6.0,0.0,0.00559461877955193,False
9,500,6.0,0.0,0.005703889541522243,False
10,500,6.0,0.0,0.005907405951172637,False
11,500,6.0,0.0,0.005354627842046271,False
12,500,6.0,0.0,0.005802663065362284,False
13,500,6.0,0.0,0.005296749520262798,False
14,500,6.0,0.0,0.005644124994386181,False
15,500,6.0,0.0,0.005149066207588553,False
16,500,6.0,0.0,0.005634424095498169,False
17,500,6.0,0.0,0.005678965379007325,False
18,500,6.0,0.0,0.005142710887381552,False
19,500,6.0,0.0,0.004999587749445459,False
20,500,6.0,0.0,0.005416804735231952,False
21,500,6.0,0.0,0.005147580626245525,False
22,500,6.0,0.0,0.005192274526880701,False
23,500,6.0,0.0,0.005386956657580707,False
24,500,6.0,0.0,0.005151306617527344,False
25,500,6.0,0.0,0.005683231410047415,False
26,500,6.0,0.0,0.005345636511427046,False
27,500,6.0,0.0,0.0054962854764387895,False
28,500,6.0,0.0,0.005758287984906474,False
29,500,6.0,0.0,0.005243810324042617,False
30,500,6.0,0.0,0.005382353937063118,False
31,500,6.0,0.0,0.005766441667046054,False
32,500,6.0,0.0,0.005481115422318227,False
33,500,6.0,0.0,0.006006007155862839,False
34,500,6.0,0.0,0.005566703415799362,False
35,500,6.0,0.0,0.0057285535926479446,False
36,500,6.0,0.0,0.005332033125226842,False
37,500,6.0,0.0,0.00535550183528081,False
38,500,6.0,0.0,0.0052912505441107816,False
39,500,6.0,0.0,0.005412419658284084,False
40,500,6.0,0.0,0.005631999160699067,False
41,500,6.0,0.0,0.005564528251967249,False
42,500,6.0,0.0,0.005357643995401375,False
43,500,6.0,0.0,0.005438871550116078,False
44,500,6.0,0.0,0.00561201051605526,False
45,500,6.0,0.0,0.005690242824484416,False
46,500,6.0,0.0,0.005345503626434587,False
47,500,6.0,0.0,0.005446338754017365,False
48,500,6.0,0.0,0.005438349321096753,False
49,500,6.0,0.0,0.005507068731952322,False
