,size,p,avg,slope,shuffled
0,500,0.012024048096192385,6,0.20259260077173663,False
1,500,0.012024048096192385,6,0.20057020502794332,False
2,500,0.012024048096192385,6,0.15188034258710964,False
3,500,0.012024048096192385,6,0.1886389475082774,False
4,500,0.012024048096192385,6,0.18559596137745876,False
5,500,0.012024048096192385,6,0.19260777609036855,False
6,500,0.012024048096192385,6,0.17365036593872188,False
7,500,0.012024048096192385,6,0.19372010627286812,False
8,500,0.012024048096192385,6,0.17951675643813234,False
9,500,0.012024048096192385,6,0.2018717277526591,False
10,500,0.012024048096192385,6,0.19625728172724383,False
11,500,0.012024048096192385,6,0.1886759430007642,False
12,500,0.012024048096192385,6,0.2005683110818591,False
13,500,0.012024048096192385,6,0.19008159203731406,False
14,500,0.012024048096192385,6,0.1954236780208425,False
15,500,0.012024048096192385,6,0.17018399995910377,False
16,500,0.012024048096192385,6,0.18597688778562033,False
17,500,0.012024048096192385,6,0.19845831126622873,False
18,500,0.012024048096192385,6,0.1824204671793501,False
19,500,0.012024048096192385,6,0.18395955991391383,False
20,500,0.012024048096192385,6,0.19398540144729726,False
21,500,0.012024048096192385,6,0.18585894564501593,False
22,500,0.012024048096192385,6,0.20560251626656162,False
23,500,0.012024048096192385,6,0.18545373531307624,False
24,500,0.012024048096192385,6,0.1983869117506818,False
25,500,0.012024048096192385,6,0.20247192408966838,False
26,500,0.012024048096192385,6,0.19409901724189133,False
27,500,0.012024048096192385,6,0.19221196087739814,False
28,500,0.012024048096192385,6,0.1923463225079446,False
29,500,0.012024048096192385,6,0.1716259759057799,False
30,500,0.012024048096192385,6,0.1940066081843355,False
31,500,0.012024048096192385,6,0.1930681155771282,False
32,500,0.012024048096192385,6,0.15002465940227197,False
33,500,0.012024048096192385,6,0.17584181011363625,False
34,500,0.012024048096192385,6,0.17648098412126031,False
35,500,0.012024048096192385,6,0.2067051432138906,False
36,500,0.012024048096192385,6,0.17754666730713706,False
37,500,0.012024048096192385,6,0.17779913199200517,False
38,500,0.012024048096192385,6,0.1723805844938634,False
39,500,0.012024048096192385,6,0.18793400186208764,False
40,500,0.012024048096192385,6,0.16945185651587608,False
41,500,0.012024048096192385,6,0.18858682712328587,False
42,500,0.012024048096192385,6,0.17669800235359992,False
43,500,0.012024048096192385,6,0.1873162519100452,False
44,500,0.012024048096192385,6,0.19771933191209012,False
45,500,0.012024048096192385,6,0.18606993344519984,False
46,500,0.012024048096192385,6,0.2035398706862984,False
47,500,0.012024048096192385,6,0.19487611723003273,False
48,500,0.012024048096192385,6,0.17427113172391484,False
49,500,0.012024048096192385,6,0.18075148820232567,False
50,500,0.012024048096192385,6,0.1728268605370682,False
51,500,0.012024048096192385,6,0.1999486870253698,False
52,500,0.012024048096192385,6,0.16292031344188537,False
53,500,0.012024048096192385,6,0.18369820194525444,False
54,500,0.012024048096192385,6,0.19412619690362368,False
55,500,0.012024048096192385,6,0.19695552686525938,False
56,500,0.012024048096192385,6,0.17792111411750086,False
57,500,0.012024048096192385,6,0.2041489683943375,False
58,500,0.012024048096192385,6,0.1778689830608177,False
59,500,0.012024048096192385,6,0.1940090938637521,False
60,500,0.012024048096192385,6,0.19137392962232058,False
61,500,0.012024048096192385,6,0.19940975881104678,False
62,500,0.012024048096192385,6,0.17815321367949985,False
63,500,0.012024048096192385,6,0.1885815959178524,False
64,500,0.012024048096192385,6,0.18543332573753352,False
65,500,0.012024048096192385,6,0.1716349096503553,False
66,500,0.012024048096192385,6,0.14658222765758347,False
67,500,0.012024048096192385,6,0.18771245137737583,False
68,500,0.012024048096192385,6,0.17815286403079095,False
69,500,0.012024048096192385,6,0.2084072880507491,False
70,500,0.012024048096192385,6,0.1803578008712338,False
71,500,0.012024048096192385,6,0.18504683091817434,False
72,500,0.012024048096192385,6,0.1877589019412792,False
73,500,0.012024048096192385,6,0.182698390089768,False
74,500,0.012024048096192385,6,0.17954829763088992,False
75,500,0.012024048096192385,6,0.18277796737336566,False
76,500,0.012024048096192385,6,0.19816454925318802,False
77,500,0.012024048096192385,6,0.18969304831930514,False
78,500,0.012024048096192385,6,0.17754868343560404,False
79,500,0.012024048096192385,6,0.186728406899089,False
80,500,0.012024048096192385,6,0.1760150416973044,False
81,500,0.012024048096192385,6,0.1886990610353791,False
82,500,0.012024048096192385,6,0.18275718231764845,False
