,size,avg,pc,cl,count_p,count_c,slope
1,981.0,48.72579001019368,0.0,0.11130679208474992,23900.0,0.0,0.43256360006178235
2,981.0,48.32212028542304,0.2,0.16518514459218228,19270.0,4630.0,0.44087002421989097
3,981.0,48.040774719673806,0.4,0.18182043539545728,14814.0,9086.0,0.4424062514724598
4,981.0,48.106014271151885,0.6,0.1712575152516073,10217.0,13683.0,0.444195409351409
5,981.0,48.38939857288481,0.8,0.1551802036396134,5794.0,18106.0,0.4438509997648058
6,981.0,48.4750254841998,0.85,0.1647974756096303,4679.0,19221.0,0.4489950881626258
7,981.0,48.56880733944954,0.9,0.18212713919361936,3603.0,20297.0,0.4463400763629431
8,981.0,48.627930682976555,0.95,0.22366710340129115,2428.0,21472.0,0.41330069439462847
9,981.0,48.691131498470945,1.0,0.4245710962567529,1340.0,22560.0,0.07671943011685185
10,917.0,33.36968375136314,0.0,0.09015504678876687,15300.0,0.0,0.4374831123533044
11,917.0,33.158124318429664,0.2,0.12229176775037526,12465.0,2835.0,0.4293603512624043
12,917.0,33.11014176663031,0.4,0.14163454299963582,9506.0,5794.0,0.42835662816754116
13,917.0,33.1319520174482,0.6,0.15483303331744788,6673.0,8627.0,0.4304755380366596
14,917.0,33.223555070883314,0.8,0.17529000316577054,3718.0,11582.0,0.4370174501287229
15,917.0,33.25190839694657,0.85,0.17399771592683966,3131.0,12169.0,0.422757815140121
16,917.0,33.291166848418754,0.9,0.19345871763950012,2477.0,12823.0,0.42331025841762243
17,917.0,33.278080697928026,0.95,0.23060575423565907,1757.0,13543.0,0.31145130578335684
18,917.0,33.36750272628135,1.0,0.27882736625282245,1054.0,14246.0,0.14602830689147978
19,482.0,49.19502074688797,0.0,0.18075275556390835,11856.0,0.0,0.458388378111297
20,482.0,48.531120331950206,0.2,0.2431069199403187,9548.0,2308.0,0.44728327127752915
21,482.0,48.178423236514526,0.4,0.24981483462762538,7317.0,4539.0,0.44127821637266695
22,482.0,48.3195020746888,0.6,0.2346588663835088,5119.0,6737.0,0.4481097503722621
23,482.0,48.68879668049792,0.8,0.23502918902621658,2979.0,8877.0,0.45921361539892
24,482.0,48.75933609958506,0.85,0.24655701749572884,2459.0,9397.0,0.4526373412207234
25,482.0,48.98755186721991,0.9,0.2663242421313153,1931.0,9925.0,0.4611942716065138
26,482.0,49.07053941908714,0.95,0.3212753531733725,1383.0,10473.0,0.4274703511209886
27,482.0,49.16597510373444,1.0,0.5259371218068655,871.0,10985.0,0.11197305998663479
28,208.0,20.83653846153846,0.0,0.17319751435886804,2167.0,0.0,0.43016444017607525
29,208.0,20.576923076923077,0.2,0.22588986620909732,1792.0,375.0,0.4313345284325217
30,208.0,20.509615384615383,0.4,0.23200825040643258,1337.0,830.0,0.4432303211370966
31,208.0,20.653846153846153,0.6,0.25422483554189057,1018.0,1149.0,0.40953450152059956
32,208.0,20.721153846153847,0.8,0.29651421125676786,615.0,1552.0,0.4086245990914488
33,208.0,20.682692307692307,0.85,0.289798719343908,546.0,1621.0,0.3829173159084172
34,208.0,20.73076923076923,0.9,0.3568001476085699,419.0,1748.0,0.27034252659640046
35,208.0,20.759615384615383,0.95,0.3749767267179849,355.0,1812.0,0.26310652804560497
