,size,avg,pr,slope
43,690.0,46.0,0.9,0.49169633152472086
44,690.0,46.0,1.0,0.48956054930185006
45,859.0,36.0,0.0,0.011422897391424021
46,859.0,36.0,0.1,0.10719856477658289
47,859.0,36.0,0.2,0.2018749468697306
48,859.0,36.0,0.30000000000000004,0.3007011197141822
49,859.0,36.0,0.4,0.3859331621429855
50,859.0,36.0,0.5,0.4646850217870805
51,859.0,36.0,0.6000000000000001,0.48154702903517377
52,859.0,36.0,0.7000000000000001,0.4819381161115849
53,859.0,36.0,0.8,0.48820008462809605
54,859.0,36.0,0.9,0.48410145192413356
55,859.0,36.0,1.0,0.4871222784474846
56,714.0,12.0,0.0,0.009531382926371724
57,714.0,12.0,0.1,0.07876374425379562
58,714.0,12.0,0.2,0.15310363920149833
59,714.0,12.0,0.30000000000000004,0.2207579923632732
60,714.0,12.0,0.4,0.2688552499432769
61,714.0,12.0,0.5,0.3331927666682222
62,714.0,12.0,0.6000000000000001,0.39348398725876266
63,714.0,12.0,0.7000000000000001,0.405993174655495
64,714.0,12.0,0.8,0.4171003650909496
65,714.0,12.0,0.9,0.42244966436312587
66,714.0,12.0,1.0,0.4172453910898598
67,262.0,46.0,0.0,0.053560338372658986
68,262.0,46.0,0.1,0.15989880877820212
69,262.0,46.0,0.2,0.27005081519493424
70,262.0,46.0,0.30000000000000004,0.36886883984317526
71,262.0,46.0,0.4,0.46157567976453295
72,262.0,46.0,0.5,0.4926000101755215
73,262.0,46.0,0.6000000000000001,0.4983918082081423
74,262.0,46.0,0.7000000000000001,0.5051995477945617
75,262.0,46.0,0.8,0.4976899224443748
76,262.0,46.0,0.9,0.49301611807630213
77,262.0,46.0,1.0,0.501888749958912
78,984.0,48.0,0.0,0.012713980898487905
79,984.0,48.0,0.1,0.11121156326687368
80,984.0,48.0,0.2,0.2062941661812842
81,984.0,48.0,0.30000000000000004,0.30362066941640653
82,984.0,48.0,0.4,0.4050817060919695
83,984.0,48.0,0.5,0.47266495465427294
84,984.0,48.0,0.6000000000000001,0.4890668170098844
85,984.0,48.0,0.7000000000000001,0.49025143252301556
86,984.0,48.0,0.8,0.48577102400889516
87,984.0,48.0,0.9,0.486853097921664
88,984.0,48.0,1.0,0.4942240231379172
89,162.0,40.0,0.0,0.10601005824100443
90,162.0,40.0,0.1,0.2209844878433918
91,162.0,40.0,0.2,0.3143665439770936
