,size,r,avg,slope
411,382.0,0.08326631912107749,7.56544502617801,0.0057667551008798055
412,322.0,0.13607742234974285,15.70807453416149,0.019739463174991055
413,578.0,0.10931360014632219,19.69204152249135,0.01365981507766596
414,550.0,0.11840414282267218,21.818181818181817,0.014181129263075484
415,101.0,0.26342679926941737,18.356435643564357,0.06082754670137795
416,982.0,0.07279892087867784,14.723014256619145,0.005182289646897323
417,238.0,0.14341414877888503,13.84873949579832,0.023887080483829266
418,875.0,0.14612076038269145,52.370285714285714,0.02202355914704513
419,213.0,0.2554290178821658,34.52582159624413,0.0695393537327203
420,478.0,0.14728142244852138,28.585774058577407,0.023877036643865385
421,569.0,0.13067425350858808,27.557117750439367,0.018195729117360164
422,907.0,0.10996702906885196,31.576626240352812,0.013382807525958005
423,512.0,0.14659203595622822,30.75390625,0.02456227545952711
424,835.0,0.14383346878624323,47.92814371257485,0.02412299437762301
425,482.0,0.16948400146437967,37.90871369294606,0.03062118357103491
426,326.0,0.11318987329674776,12.883435582822086,0.011060876919989509
427,632.0,0.11214645791375685,23.10759493670886,0.014807873703190477
428,308.0,0.21144305209158282,35.383116883116884,0.047401683205834835
429,132.0,0.278434485745797,22.636363636363637,0.06869390616264774
430,194.0,0.26487889038803414,34.16494845360825,0.06155423360893786
431,365.0,0.13472038404758652,19.205479452054796,0.02366795772904461
432,662.0,0.11632638012117785,25.39274924471299,0.014344033047021098
433,628.0,0.11870717852553421,25.987261146496817,0.017134767115907987
434,541.0,0.1148387663833186,20.691312384473196,0.012898030176787974
435,751.0,0.06891863771277457,10.237017310252996,0.004604848270095916
436,141.0,0.21551067959659892,16.43971631205674,0.038669758688734505
437,627.0,0.07345338918528138,9.773524720893143,0.004471242728835216
438,685.0,0.14875663910119488,41.518248175182485,0.025206964402371457
439,118.0,0.3086358472300771,28.440677966101696,0.00136873093258108
440,217.0,0.14749151787829914,12.31336405529954,0.021581527308141862
441,667.0,0.13678796256414427,33.95802098950525,0.0204146010686586
442,306.0,0.08070948096838294,5.7973856209150325,0.002728327816206592
443,481.0,0.18722116690996643,43.817047817047815,0.03399976502485359
444,235.0,0.1954374970630386,24.65531914893617,0.034999874596115574
445,918.0,0.12106066472704895,37.189542483660134,0.016971557898662264
446,205.0,0.19973107392490086,20.214634146341464,0.03967095606172934
447,833.0,0.054708430627298715,7.378151260504202,0.003118697207782136
448,732.0,0.0908309305998398,16.797814207650273,0.008531716801911598
449,293.0,0.09227492859062739,7.017064846416382,0.004863265659672683
450,931.0,0.07360147217461539,15.095596133190119,0.0058276017694648356
451,734.0,0.12807964028134178,34.55040871934605,0.020165606957308627
452,695.0,0.15225172687451966,43.867625899280576,0.027327421619577418
453,659.0,0.14864377531244843,41.50227617602428,0.026970166004518892
454,145.0,0.2681919573974932,26.675862068965518,0.066352202086458
455,139.0,0.10872383751564853,5.294964028776978,0.003447996322671646
456,540.0,0.1553246985986768,36.41481481481482,0.02873271334341799
457,737.0,0.060883307368438,8.257801899592945,0.0029776687258534574
458,934.0,0.10860324095062596,31.271948608137045,0.013078761470199127
459,186.0,0.22486331085928518,23.0,0.057174941757869815
460,210.0,0.2649853507358223,37.43809523809524,0.06086733049694739
461,991.0,0.13578375585914665,51.210898082744706,0.020860615483944696
462,580.0,0.07993639693958295,10.755172413793103,0.0055535556863828195
463,283.0,0.16784887068627366,22.87632508833922,0.03133615317662725
464,393.0,0.11312063275976655,13.974554707379134,0.012925014703340416
465,719.0,0.08851644695686128,16.54798331015299,0.007483793885887454
466,550.0,0.17775784692843058,44.86545454545455,0.03492305254104738
467,421.0,0.11343167344415565,15.619952494061758,0.012734625720252074
468,593.0,0.09956446414784335,17.568296795952783,0.009856142580599778
469,883.0,0.07943746954376252,15.986409966024915,0.006012218422145192
470,380.0,0.17111793188801722,30.705263157894738,0.03666694514051673
471,190.0,0.24418788240668124,27.91578947368421,0.04706775084678747
472,391.0,0.1497085552528581,24.127877237851663,0.026435450668500678
473,143.0,0.25042019605313376,22.335664335664337,0.05503538371518011
474,730.0,0.06731565173639775,9.693150684931506,0.004031424414462876
475,343.0,0.0858168749839142,7.405247813411079,0.005440543925779214
476,921.0,0.09652329690972596,24.846905537459282,0.01044432426473409
477,301.0,0.1516480807472132,18.471760797342192,0.023004560627702723
478,209.0,0.10478624156921766,6.842105263157895,0.008383745080018545
479,982.0,0.08895546059246091,22.60488798370672,0.008227512663990943
480,798.0,0.12083810078543203,32.954887218045116,0.01616011079402919
481,445.0,0.07059646773627137,6.82247191011236,0.0021445339939839695
482,691.0,0.06827553381107405,9.568740955137482,0.0039035073341782437
483,443.0,0.1882500009248568,40.455981941309254,0.040213469743248
484,161.0,0.28012415171510197,29.46583850931677,0.05903261377332444
485,929.0,0.05511168520333269,8.381054897739505,0.002727354830209526
486,265.0,0.08342403190343554,5.456603773584906,0.001751578410565786
487,593.0,0.12003981233311928,24.09106239460371,0.013182019040583462
488,495.0,0.1393584987229472,27.042424242424243,0.022419446877904155
489,124.0,0.12274269245532236,4.82258064516129,0.0026104216899320676
490,790.0,0.06893464197112394,11.083544303797469,0.004503889144804206
491,400.0,0.12841147885237614,18.46,0.01627017859473261
492,306.0,0.2247106124352336,39.95424836601307,0.044793616263507086
493,948.0,0.14358111514723434,52.938818565400844,0.023156552717888648
494,583.0,0.1225564745702898,25.83533447684391,0.01844512761398141
495,269.0,0.2017707419024744,28.0,0.04165846990001183
496,650.0,0.1630113302158947,46.90769230769231,0.03011578188326125
497,901.0,0.05245003492152667,7.704772475027747,0.002363625793970541
498,104.0,0.21305099677482978,11.01923076923077,0.03271621657400482
499,503.0,0.09733429725853376,13.491053677932406,0.008340712904924628
500,460.0,0.10409994112913681,13.9,0.011136803786563152
501,859.0,0.09288819096227671,21.357392316647264,0.008879322180919528
502,378.0,0.12131995258420127,15.555555555555555,0.014595425326443534
503,295.0,0.08348331772985806,5.932203389830509,0.002928005957257045
504,194.0,0.20284453660763624,20.855670103092784,0.04293786339164037
505,357.0,0.1414909248103101,19.523809523809526,0.01816475084421707
506,398.0,0.12788145529217576,18.597989949748744,0.01584448924899567
507,440.0,0.16263912096139277,31.072727272727274,0.02655677291592351
508,345.0,0.09089428119916809,8.626086956521739,0.003389018669183675
509,637.0,0.10262827670512151,19.246467817896388,0.010787239378678414
510,914.0,0.05848277410530378,9.14223194748359,0.0030239253192632706
