,size,p,avg,slope
113,965.0,0.05450516484971211,52.52435233160622,0.4912608045674213
114,916.0,0.052514936045138814,47.75545851528384,0.4853825487243329
115,324.0,0.15136738163536057,48.907407407407405,0.495043971802889
116,910.0,0.011272999296384607,10.156043956043955,0.29486248775334456
117,505.0,0.10379773273459783,52.11485148514851,0.48679564897430383
118,606.0,0.0378684278033788,22.31023102310231,0.46582207084866595
119,450.0,0.044374068397251124,20.511111111111113,0.45857522849422827
120,664.0,0.049827093512884585,33.036144578313255,0.4833346079049898
121,392.0,0.12516965607917682,48.61224489795919,0.4936365848848654
122,532.0,0.08688058540198895,46.1390977443609,0.48684553641219797
123,671.0,0.09697476611593943,65.1833084947839,0.49484400562344427
124,858.0,0.07591599100513631,65.28904428904428,0.4939241272792148
125,243.0,0.13726528265187843,32.35390946502058,0.4945266540829366
126,935.0,0.05098655437332682,47.976470588235294,0.4889453456686863
127,347.0,0.11209523287059596,38.357348703170025,0.4952440344322577
128,536.0,0.08886517999373011,47.41417910447761,0.4937752911164033
129,956.0,0.0269806703314818,25.688284518828453,0.46812723606232326
130,291.0,0.14804896599944517,43.23711340206186,0.49134083435362086
131,860.0,0.03040355968881565,26.390697674418604,0.47292546952389225
132,389.0,0.13283814356375045,52.030848329048844,0.49829460401974135
133,775.0,0.07079710013468618,54.990967741935485,0.48551961861212145
134,895.0,0.02019065316575702,18.286033519553072,0.44759560025608974
135,231.0,0.11695340202500196,26.493506493506494,0.4814771484231736
136,265.0,0.1854022616206551,49.18490566037736,0.4991310717277836
137,508.0,0.07794939836398088,38.75984251968504,0.48115951855794065
138,513.0,0.022772332170708738,11.641325536062379,0.3756975075053667
139,999.0,0.020147061814157975,19.965965965965967,0.4545797431476508
140,147.0,0.048401600477714635,6.340136054421769,0.18055988195911607
141,691.0,0.08436935248029269,58.39652677279305,0.49066179631032664
142,961.0,0.017671913596277858,17.05515088449532,0.44385720264120865
143,168.0,0.16842696220382952,27.86904761904762,0.4944393596615889
144,813.0,0.043166100522771395,34.90528905289053,0.48658037233908713
145,278.0,0.11661374857112128,32.41726618705036,0.4878132238351731
146,206.0,0.042679206599300856,8.757281553398059,0.35360804320445866
147,831.0,0.04266660180364622,35.203369434416366,0.48005859423598174
148,460.0,0.11189756742435339,50.95652173913044,0.4962412824362158
149,778.0,0.06155360522141122,47.7120822622108,0.48230548306648063
